"","Year.x","Month.x","DOY.x","HOUR","Timestamp_Begin","VegType","Flux_CO2","Flux_CH4","MonthYear.x","DATE","DOY.y","ECO_CO2_FLUX","CH4_FLUX","Month.y","Year.y","Month2","MonthYear.y","YM"
"1",2022,"August",230,"7",2022-08-18 07:23:00,"V",4.213613,0.109608,"2022-August",2022-08-18,"229.292",-1.737116,0.62964553,NA,2022,"August","2022-August","22-Aug"
"2",2022,"August",230,"7",2022-08-18 07:28:00,"V",4.870328,0.188254,"2022-August",2022-08-18,"229.292",-1.737116,0.62964553,NA,2022,"August","2022-August","22-Aug"
"3",2022,"August",230,"7",2022-08-18 07:33:00,"V",3.213417,0.104782,"2022-August",2022-08-18,"229.292",-1.737116,0.62964553,NA,2022,"August","2022-August","22-Aug"
"4",2022,"August",230,"8",2022-08-18 08:26:00,"V",3.147294,0.121663,"2022-August",2022-08-18,"229.333",-22.02187,0.62829709,NA,2022,"August","2022-August","22-Aug"
"5",2022,"August",230,"8",2022-08-18 08:29:00,"V",3.49023,0.05705,"2022-August",2022-08-18,"229.333",-22.02187,0.62829709,NA,2022,"August","2022-August","22-Aug"
"6",2022,"August",230,"8",2022-08-18 08:33:00,"V",0.521917,0.109057,"2022-August",2022-08-18,"229.333",-22.02187,0.62829709,NA,2022,"August","2022-August","22-Aug"
"7",2022,"August",230,"9",2022-08-18 09:27:00,"V",4.091606,0.077205,"2022-August",2022-08-18,"229.375",-41.001659,0.60858577,NA,2022,"August","2022-August","22-Aug"
"8",2022,"August",230,"9",2022-08-18 09:31:00,"V",3.072127,0.090167,"2022-August",2022-08-18,"229.375",-41.001659,0.60858577,NA,2022,"August","2022-August","22-Aug"
"9",2022,"August",230,"9",2022-08-18 09:34:00,"V",1.177455,0.070286,"2022-August",2022-08-18,"229.375",-41.001659,0.60858577,NA,2022,"August","2022-August","22-Aug"
"10",2022,"August",230,"10",2022-08-18 10:28:00,"V",-1.174222,0.107188,"2022-August",2022-08-18,"229.417",-48.764091,0.59642148,NA,2022,"August","2022-August","22-Aug"
"11",2022,"August",230,"10",2022-08-18 10:32:00,"V",-6.735517,0.078883,"2022-August",2022-08-18,"229.417",-48.764091,0.59642148,NA,2022,"August","2022-August","22-Aug"
"12",2022,"August",230,"10",2022-08-18 10:36:00,"V",-6.517786,0.084392,"2022-August",2022-08-18,"229.417",-48.764091,0.59642148,NA,2022,"August","2022-August","22-Aug"
"13",2022,"August",230,"11",2022-08-18 11:28:00,"V",0.082446,0.162867,"2022-August",2022-08-18,"229.458",-50.682152,0.59712452,NA,2022,"August","2022-August","22-Aug"
"14",2022,"August",230,"11",2022-08-18 11:32:00,"V",-4.24352,0.070409,"2022-August",2022-08-18,"229.458",-50.682152,0.59712452,NA,2022,"August","2022-August","22-Aug"
"15",2022,"August",230,"11",2022-08-18 11:35:00,"V",-2.896353,0.055805,"2022-August",2022-08-18,"229.458",-50.682152,0.59712452,NA,2022,"August","2022-August","22-Aug"
"16",2022,"August",230,"12",2022-08-18 12:34:00,"V",0.119981,0.09419,"2022-August",2022-08-18,"229.500",-51.330299,0.60656577,NA,2022,"August","2022-August","22-Aug"
"17",2022,"August",230,"12",2022-08-18 12:39:00,"V",-8.030339,0.07763,"2022-August",2022-08-18,"229.500",-51.330299,0.60656577,NA,2022,"August","2022-August","22-Aug"
"18",2022,"August",230,"12",2022-08-18 12:42:00,"V",-2.742947,0.088795,"2022-August",2022-08-18,"229.500",-51.330299,0.60656577,NA,2022,"August","2022-August","22-Aug"
"19",2022,"August",230,"13",2022-08-18 13:31:00,"V",0.007668,0.269922,"2022-August",2022-08-18,"229.542",-50.386459,0.61964232,NA,2022,"August","2022-August","22-Aug"
"20",2022,"August",230,"13",2022-08-18 13:34:00,"V",-0.971317,0.070919,"2022-August",2022-08-18,"229.542",-50.386459,0.61964232,NA,2022,"August","2022-August","22-Aug"
"21",2022,"August",230,"13",2022-08-18 13:38:00,"V",2.481774,0.053398,"2022-August",2022-08-18,"229.542",-50.386459,0.61964232,NA,2022,"August","2022-August","22-Aug"
"22",2022,"August",230,"14",2022-08-18 14:30:00,"V",3.928842,0.107132,"2022-August",2022-08-18,"229.583",-46.912491,0.63320959,NA,2022,"August","2022-August","22-Aug"
"23",2022,"August",230,"14",2022-08-18 14:33:00,"V",6.244377,0.07736,"2022-August",2022-08-18,"229.583",-46.912491,0.63320959,NA,2022,"August","2022-August","22-Aug"
"24",2022,"August",230,"14",2022-08-18 14:37:00,"V",5.160696,0.124069,"2022-August",2022-08-18,"229.583",-46.912491,0.63320959,NA,2022,"August","2022-August","22-Aug"
"25",2022,"August",230,"15",2022-08-18 15:27:00,"V",0.700249,0.07921,"2022-August",2022-08-18,"229.625",-40.797249,0.64619207,NA,2022,"August","2022-August","22-Aug"
"26",2022,"August",230,"15",2022-08-18 15:31:00,"V",2.758845,0.055796,"2022-August",2022-08-18,"229.625",-40.797249,0.64619207,NA,2022,"August","2022-August","22-Aug"
"27",2022,"August",230,"15",2022-08-18 15:38:00,"V",-2.366003,0.008796,"2022-August",2022-08-18,"229.625",-40.797249,0.64619207,NA,2022,"August","2022-August","22-Aug"
"28",2022,"August",230,"16",2022-08-18 16:36:00,"V",2.790791,0.111534,"2022-August",2022-08-18,"229.667",-31.660959,0.65778887,NA,2022,"August","2022-August","22-Aug"
"29",2022,"August",230,"16",2022-08-18 16:40:00,"V",0.909573,0.032703,"2022-August",2022-08-18,"229.667",-31.660959,0.65778887,NA,2022,"August","2022-August","22-Aug"
"30",2022,"August",230,"16",2022-08-18 16:44:00,"V",1.0533,0.049959,"2022-August",2022-08-18,"229.667",-31.660959,0.65778887,NA,2022,"August","2022-August","22-Aug"
"31",2022,"August",230,"17",2022-08-18 17:27:00,"V",1.165268,0.092617,"2022-August",2022-08-18,"229.708",-17.31609,0.66774231,NA,2022,"August","2022-August","22-Aug"
"32",2022,"August",230,"17",2022-08-18 17:31:00,"V",1.512848,0.083312,"2022-August",2022-08-18,"229.708",-17.31609,0.66774231,NA,2022,"August","2022-August","22-Aug"
"33",2022,"August",230,"17",2022-08-18 17:35:00,"V",0.025879,0.025742,"2022-August",2022-08-18,"229.708",-17.31609,0.66774231,NA,2022,"August","2022-August","22-Aug"
"34",2022,"August",230,"18",2022-08-18 18:27:00,"V",5.66622,0.136448,"2022-August",2022-08-18,"229.750",1.366468,0.67564309,NA,2022,"August","2022-August","22-Aug"
"35",2022,"August",230,"18",2022-08-18 18:31:00,"V",4.541779,0.058505,"2022-August",2022-08-18,"229.750",1.366468,0.67564309,NA,2022,"August","2022-August","22-Aug"
"36",2022,"August",230,"18",2022-08-18 18:36:00,"V",3.54738,0.073812,"2022-August",2022-08-18,"229.750",1.366468,0.67564309,NA,2022,"August","2022-August","22-Aug"
"37",2022,"August",230,"19",2022-08-18 19:12:00,"V",3.192735,0.094116,"2022-August",2022-08-18,"229.792",13.10266,0.68146533,NA,2022,"August","2022-August","22-Aug"
"38",2022,"August",230,"19",2022-08-18 19:09:00,"V",4.618149,0.060106,"2022-August",2022-08-18,"229.792",13.10266,0.68146533,NA,2022,"August","2022-August","22-Aug"
"39",2022,"August",230,"19",2022-08-18 19:05:00,"V",0.000293,0.047001,"2022-August",2022-08-18,"229.792",13.10266,0.68146533,NA,2022,"August","2022-August","22-Aug"
"40",2022,"September",257,"7",2022-09-14 07:45:00,"V",0.640893,0.280647,"2022-September",2022-09-14,"256.292",4.5316348,0.74742073,NA,2022,"September","2022-September","22-Sep"
"41",2022,"September",257,"7",2022-09-14 07:49:00,"V",1.243044,0.047472,"2022-September",2022-09-14,"256.292",4.5316348,0.74742073,NA,2022,"September","2022-September","22-Sep"
