Columns ,Chamber_ID,Location_ID,Timestamp_Begin,Timestamp_End,Flux_CO2,Flux_SE_CO2,CrvFit_CO2,R2_CO2,CO2_Error,Flux_CH4_diffusive,Flux_CH4_ebullition,Flux_CH4,Flux_SE_CH4,CrvFit_CH4_diffusive,R2_CH4,CH4_Error,Tair,Atm_pressure,Notes
Sample,April_7_O1,O1,20230425071445,20230425071645,0.189186,0.127237,Exp:HutchisonMosier,0.72085,,0.004717,0,0.004717,0.10189,Exp:HutchisonMosier_noEbullition,0.98803,,-1.7,1,
Sample,April_7_O2,O2,20230425071810,20230425072010,0.07054,0.132239,Exp:HutchisonMosier,0.279983,,0.00201,0.15908,0.16109,2.04764,Exp:HutchisonMosier_noEbullition,0.191455,,0.25,1,
Sample,April_7_O3,O3,20230425073400,20230425073600,0.417109,0.116319,Exp:HutchisonMosier,0.936835,,0.00783,0,0.00783,0.175254,Exp:HutchisonMosier_noEbullition,0.985318,,-0.45,1,
Sample,April_7_V1,V1,20230425072310,20230425072510,0.698021,0.149073,Exp:HutchisonMosier,0.885061,,0.010663,0.008848,0.019511,0.560079,Exp:HutchisonMosier_noEbullition,0.938363,,-1.35,1,
Sample,April_7_V2,V2,20230425072610,20230425072810,0.49789,0.122026,Exp:HutchisonMosier,0.896265,,0.003773,0,0.003773,0.248844,Exp:HutchisonMosier_noEbullition,0.932097,,-0.95,1,
Sample,April_7_V3,V3,20230425072930,20230425073130,0.488321,0.141214,Exp:HutchisonMosier,0.916107,,0.002534,0,0.002534,0.065939,Exp:HutchisonMosier_noEbullition,0.983276,,-1.45,1,
Sample,April_8_O1,O1,20230425082140,20230425082340,0.341525,0.108477,Exp:HutchisonMosier,0.918091,,0.004417,0,0.004417,0.113726,Exp:HutchisonMosier_noEbullition,0.987338,,4.9,1,
Sample,April_8_O2,O2,20230425082545,20230425082745,0.270657,0.137256,Exp:HutchisonMosier,0.861415,,0.001906,0,0.001906,0.086299,Exp:HutchisonMosier_noEbullition,0.965483,,5.2,1,
Sample,April_8_O3,O3,20230425084245,20230425084445,0.430899,0.1598,Exp:HutchisonMosier,0.795182,,0.008835,0,0.008835,0.367036,Exp:HutchisonMosier_noEbullition,0.935152,,5.9,1,
Sample,April_8_V1,V1,20230425083120,20230425083320,0.407911,0.173576,Exp:HutchisonMosier,0.893728,,0.00756,0,0.00756,0.472689,Exp:HutchisonMosier_noEbullition,0.938382,,4.25,1,
Sample,April_8_V2,V2,20230425083435,20230425083645,0.267585,0.180256,Exp:HutchisonMosier,0.777271,,0.012599,0,0.012599,0.737019,Exp:HutchisonMosier_noEbullition,0.941301,,4.3,1,
Sample,April_8_V3,V3,20230425083830,20230425084030,0.29169,0.16728,Exp:HutchisonMosier,0.848861,,0.001696,0,0.001696,0.088752,Exp:HutchisonMosier_noEbullition,0.927017,,4.5,1,
Sample,April_9_O1,O1,20230425091730,20230425091930,0.187809,0.10769,Exp:HutchisonMosier,0.116,,0.001821,0,0.001821,0.052834,Exp:HutchisonMosier_noEbullition,0.985028,,8.1,1,
Sample,April_9_O2,O2,20230425092040,20230425092240,0.296181,0.126876,Exp:HutchisonMosier,0.641802,,0.002434,0,0.002434,0.04095,Exp:HutchisonMosier_noEbullition,0.98835,,8.15,1,
Sample,April_9_O3,O3,20230425093545,20230425093745,0.594277,0.135516,Exp:HutchisonMosier,0.919359,,0.006838,0,0.006838,0.085743,Exp:HutchisonMosier_noEbullition,0.995757,,8.15,1,
Sample,April_9_V1,V1,20230425092545,20230425092745,0.203057,0.139565,Exp:HutchisonMosier,0.775561,,0.008336,0,0.008336,0.086925,Exp:HutchisonMosier_noEbullition,0.997718,,7.85,1,
Sample,April_9_V2,V2,20230425092845,20230425093045,0.310454,0.146444,Exp:HutchisonMosier,0.882658,,0.00568,0,0.00568,0.143208,Exp:HutchisonMosier_noEbullition,0.988735,,7.1,1,
Sample,April_9_V3,V3,20230425093230,20230425093430,0.669467,0.126858,Exp:HutchisonMosier,0.96845,,0.003637,0,0.003637,0.031528,Exp:HutchisonMosier_noEbullition,0.998178,,7.45,1,
Sample,April_10_O1,O1,20230425101700,20230425101900,0.553148,0.117572,Exp:HutchisonMosier,0.965905,,0.006589,0,0.006589,0.099582,Exp:HutchisonMosier_noEbullition,0.995246,,10.7,1,
Sample,April_10_O2,O2,20230425102010,20230425102210,0.486679,0.152839,Exp:HutchisonMosier,0.943433,,0.00531,0,0.00531,0.08918,Exp:HutchisonMosier_noEbullition,0.993339,,9.8,1,
Sample,April_10_O3,O3,20230425103445,20230425103645,0.53639,0.150275,Exp:HutchisonMosier,0.876161,,0.008746,0,0.008746,0.08381,Exp:HutchisonMosier_noEbullition,0.99611,,10.85,1,
Sample,April_10_V1,V1,20230425102430,20230425102630,0.335725,0.109066,Exp:HutchisonMosier,0.873791,,0.009947,0,0.009947,0.092808,Exp:HutchisonMosier_noEbullition,0.998328,,8.7,1,
Sample,April_10_V2,V2,20230425102810,20230425103010,0.55402,0.136186,Exp:HutchisonMosier,0.908155,,0.006429,0,0.006429,0.063156,Exp:HutchisonMosier_noEbullition,0.998042,,10.25,1,
Sample,April_10_V3,V3,20230425103130,20230425103330,0.72762,0.157169,Exp:HutchisonMosier,0.973223,,0.003673,0,0.003673,0.061562,Exp:HutchisonMosier_noEbullition,0.995344,,10.2,1,
Sample,April_11_O1,O1,20230425111845,20230425112045,0.60937,0.131794,Exp:HutchisonMosier,0.890993,,0.011246,0,0.011246,0.184288,Exp:HutchisonMosier_noEbullition,0.986357,,11.75,1,
Sample,April_11_O2,O2,20230425112145,20230425112345,0.312681,0.131748,Exp:HutchisonMosier,0.90549,,0.004513,0,0.004513,0.0923,Exp:HutchisonMosier_noEbullition,0.991367,,10.15,1,
Sample,April_11_O3,O3,20230425113600,20230425113800,0.251677,0.130972,Exp:HutchisonMosier,0.868597,,0.127712,0.022848,0.15056,1.341817,Exp:HutchisonMosier_noEbullition,0.949358,,9.6,1,
Sample,April_11_V1,V1,20230425112645,20230425112845,0.236437,0.123659,Exp:HutchisonMosier,0.864402,,0.010665,0,0.010665,0.185519,Exp:HutchisonMosier_noEbullition,0.994602,,9.5,1,
Sample,April_11_V2,V2,20230425113000,20230425113200,0.478514,0.141826,Exp:HutchisonMosier,0.951036,,0.006242,0,0.006242,0.115045,Exp:HutchisonMosier_noEbullition,0.9938,,8.8,1,
Sample,April_11_V3,V3,20230425113255,20230425113455,1.102434,0.142996,Exp:HutchisonMosier,0.977455,,0.005437,0,0.005437,0.077478,Exp:HutchisonMosier_noEbullition,0.995259,,9.6,1,
Sample,April_12_O1,O1,20230425121205,20230425121405,0.29877,0.145941,Exp:HutchisonMosier,0.773172,,0.005537,0,0.005537,0.239139,Exp:HutchisonMosier_noEbullition,0.94419,,9.6,1,
Sample,April_12_O2,O2,20230425121505,20230425121705,0.494712,0.19093,Exp:HutchisonMosier,0.850893,,0.00498,0,0.00498,0.377681,Exp:HutchisonMosier_noEbullition,0.914395,,9.3,1,
Sample,April_12_O3,O3,20230425122840,20230425123040,0.34464,0.232337,Exp:HutchisonMosier,0.787855,,0.008588,0,0.008588,0.640736,Exp:HutchisonMosier_noEbullition,0.908549,,10.45,1,
Sample,April_12_V1,V1,20230425121905,20230425122105,-0.285557,0.296112,Exp:HutchisonMosier,0.632709,,0.007994,0,0.007994,0.346619,Exp:HutchisonMosier_noEbullition,0.969853,,10.2,1,
Sample,April_12_V2,V2,20230425122215,20230425122415,1.386724,0.199355,Exp:HutchisonMosier,0.863759,,0.007124,0.011403,0.018527,0.696282,Exp:HutchisonMosier_noEbullition,0.874422,,10.2,1,
Sample,April_12_V3,V3,20230425122540,20230425122740,0.542429,0.486619,Exp:HutchisonMosier,0.687786,,0.004412,0,0.004412,0.488837,Exp:HutchisonMosier_noEbullition,0.865115,,10.7,1,
Sample,April_13_O1,O1,20230425133700,20230425133900,0.278742,0.256183,Exp:HutchisonMosier,0.683891,,-0.014109,0.148755,0.134646,1.552508,Exp:HutchisonMosier_noEbullition,0.804265,,9.3,1,
Sample,April_13_O2,O2,20230425134005,20230425134205,0.093005,0.104516,Exp:HutchisonMosier,0.821816,,0.003202,0,0.003202,0.159486,Exp:HutchisonMosier_noEbullition,0.962014,,9.6,1,
Sample,April_13_O3,O3,20230425135345,20230425135545,0.740537,0.152206,Exp:HutchisonMosier,0.951481,,0.019782,0,0.019782,0.413237,Exp:HutchisonMosier_noEbullition,0.9848,,9.4,1,
Sample,April_13_V1,V1,20230425134445,20230425134645,0.006592,0.145322,Exp:HutchisonMosier,0.306561,,0.006653,0,0.006653,0.419114,Exp:HutchisonMosier_noEbullition,0.940302,,10,1,
Sample,April_13_V2,V2,20230425134800,20230425135000,0.577177,0.236498,Exp:HutchisonMosier,0.794945,,0.004856,0,0.004856,0.290282,Exp:HutchisonMosier_noEbullition,0.954366,,10.1,1,
Sample,April_13_V3,V3,20230425135045,20230425135245,0.474436,0.371658,Exp:HutchisonMosier,0.752543,,0.003672,0,0.003672,0.291323,Exp:HutchisonMosier_noEbullition,0.910758,,10.4,1,
Sample,April_14_O1,O1,20230425141345,20230425141545,0.241938,0.149702,Exp:HutchisonMosier,0.768483,,0.003952,0,0.003952,0.217608,Exp:HutchisonMosier_noEbullition,0.905275,,8.75,1,
Sample,April_14_O2,O2,20230425142235,20230425142435,0.25338,0.11952,Exp:HutchisonMosier,0.858147,,0.008046,0,0.008046,0.204506,Exp:HutchisonMosier_noEbullition,0.980573,,8.55,1,
