VMXC,VMX4,VMXM,VMXF,trial,RMSE_CH4
0.536439299,3.481624248,0.241958272,0.825934487,0,5.5825
0.733846548,1.52888658,0.843140674,0.161497111,1,4.747
1.142765749,2.256817286,0.437232023,0.944950411,2,5.6747
0.092462432,0.307622281,1.034883056,0.585055168,3,5.0807
0.273862965,2.508214981,0.697803606,0.454509132,4,4.8624
1.014550859,0.530016091,0.057937527,1.162471322,5,6.6547
0.8808548,3.259216328,1.198906845,0.263020643,6,4.7056
0.374917309,1.277474702,0.562609901,0.656772595,7,5.2375
0.445318662,2.062575957,1.107837422,1.21924573,8,6.0465
0.789917204,0.038261377,0.506578013,0.395437778,9,4.8224
1.077082897,3.747476082,0.758103039,0.71343603,10,5.3164
0.193192936,1.726651172,0.160525472,0.203838463,11,4.7291
0.031737314,3.003451011,0.322562137,0.063662205,12,4.968
1.224043642,1.069637785,0.962505222,0.921326683,13,5.6252
0.661635915,2.719575147,0.285898776,0.487255631,14,4.9172
0.626766683,0.78227232,0.922122255,1.040378134,15,5.7987
0.588337721,2.689834468,0.539035226,0.305951412,16,4.6524
0.700224939,0.926442695,1.135469797,0.680198802,17,5.2556
1.185583405,2.859167313,0.110517283,0.418999292,18,4.8171
0.070342269,1.099491789,0.712899626,1.107454265,19,5.97
0.23208353,3.543598669,1.010101361,1.015599881,20,5.778
1.038351183,1.81292703,0.375001996,0.597827961,21,5.1168
0.82882491,1.976413367,0.896929812,0.820411627,22,5.487
0.406556854,0.242025521,0.25584491,0.09809965,23,4.8527
0.336168483,3.057491299,0.791007954,0.540949661,24,4.9982
0.919766047,1.365676407,0.1946498,1.074869468,25,NA
0.975803803,2.419900007,1.06461208,0.041256865,26,5.0075
0.312747658,0.731854389,0.462154502,0.879716582,27,5.6203
0.131070928,2.229002398,0.030621143,0.778231939,28,5.8932
1.104318494,0.453945096,0.665644092,0.210455313,29,4.7339
0.77242967,3.335414789,0.60747726,1.205376577,30,6.0707
0.497995007,1.556588144,1.248637398,0.323392219,31,4.6238
0.488842201,2.319595919,0.782525875,0.110035891,32,4.822
0.765731953,0.370369098,0.147427691,0.799115184,33,5.5685
1.130238999,3.418838509,1.133416808,0.614603239,34,5.1306
0.159370402,1.466132737,0.492333086,0.989472589,35,5.7866
0.287923129,3.205961633,0.312065122,1.129668328,36,NA
0.948524259,1.224251921,0.908498513,0.406769815,37,4.8213
0.927520384,2.561490863,0.347609699,0.707240101,38,5.3436
0.341543926,0.583260171,0.949990861,0.288884005,39,4.6978
0.43490324,3.685139965,0.412127684,0.349825508,40,4.7494
0.854716206,1.664339887,1.047151813,1.188909508,41,6.0103
1.031606554,2.124890776,0.215546283,0.232050597,42,4.7321
0.222959933,0.100551474,0.856707601,0.766592327,43,5.4325
0.075689683,2.7732936,1.173119878,0.897082314,44,5.6258
1.193385835,0.835966038,0.576760543,0.014511384,45,5.0433
0.672973423,2.949739584,0.673286522,1.087404277,46,5.895
0.5634651,1.015951203,0.070827764,0.519043438,47,5.0267
0.602090746,2.920112007,1.079915548,0.635476004,48,5.1869
0.634505478,1.160461218,0.440048288,0.274956442,49,4.7095
0.0125,2.360405579,1.25,0.602944801,50,5.081
0.169865335,2.676720961,1.25,0.19232234,51,4.7302
1.029774352,2.154970237,0.246617152,0.335580253,52,4.7419
0.804646395,3.75,1.234939145,0.936903769,53,5.662
0.334576469,1.400451135,0.652299989,0.153167087,54,4.7598
0.27456154,2.642464662,0.338732677,0.281635659,55,4.6911
1.10027049,2.991440057,0.755901043,0.884647453,56,5.5894
0.942932953,2.797551691,1.099370391,1.25,57,6.0629
0.304766348,2.242341377,0.930137578,0.811866982,58,5.4801
0.161573909,1.852496472,1.145573209,0.72961535,59,5.3428
0.227308173,0.54624293,1.25,1.057450603,60,5.8273
1.175946334,2.798022388,0.614781136,0.529493605,61,4.9828
0.332862526,2.928587511,0.380865728,0.279146673,62,4.6927
0.312048732,0.0375,0.0125,0.596016674,63,5.2943
0.380998559,3.380166565,0.635440454,0.870186398,64,5.5865
0.0125,3.75,1.019409637,0.244544591,65,4.7128
1.25,0.0375,0.642522451,0.925063664,66,5.6862
1.25,3.75,0.594499281,0.83824741,67,5.5361
0.0125,2.01093297,0.846731377,0.670910295,68,5.191
0.0125,0.0375,0.198957873,0.633375607,69,5.1572
1.25,3.75,0.828954077,1.25,70,6.0972
0.760861117,2.428065973,1.25,0.017450229,71,5.029
0.0125,0.0375,1.25,0.649714023,72,5.1794
1.25,3.75,0.0125,0.662945614,73,5.2344
0.920943309,2.079764156,0.50938653,0.109392985,74,4.8213
1.16203849,0.702934171,0.608456538,0.088182921,75,4.8765
0.307555829,2.918335938,0.324181092,0.263235418,76,NA
1.104923551,2.281188885,0.971572821,0.193788437,77,4.7289
0.426648059,2.628497067,0.435403324,0.374937617,78,4.7755
1.25,3.739015147,0.671138051,1.073796619,79,5.8529
1.232585129,2.2709963,0.795202556,0.479597773,80,4.8984
1.085949953,0.070165677,0.673254956,0.629116443,81,5.1708
0.183362837,2.996707959,0.281170479,0.156605261,82,4.7467
0.065605096,2.032948011,0.987132628,0.685152708,83,5.2897
0.297052344,3.264471258,0.299521851,0.225706662,84,4.7274
0.980197951,2.899567972,1.078535525,0.166856065,85,4.7443
0.547083686,0.061469376,0.326540392,0.304502578,86,4.697
0.815950229,3.731977418,0.158265155,0.636730429,87,5.2036
1.231942519,2.320103545,0.585451443,0.250543165,88,4.7033
0.974196831,2.66293112,1.07411799,1.074539944,89,5.833
0.095291357,0.77282584,0.36575866,0.2820399,90,4.6891
0.785343215,3.447030636,0.44019247,0.627340381,91,5.1828
0.255026534,3.015318459,0.067988563,0.109766473,92,4.8417
0.148948961,0.065727522,0.101957436,0.600858682,93,5.1253
0.214795194,0.194327394,0.0125,0.229274033,94,4.7308
1.223083659,0.0375,0.132893605,1.070582335,95,6.1728
0.058367817,2.497867658,0.431432703,0.0125,96,5.0436
0.677394122,3.75,0.0125,0.567997507,97,5.2131
0.537139548,0.0375,0.0125,0.491964804,98,5.0143
1.033586617,2.764842079,0.879044498,0.516723157,99,4.9616
0.656987635,3.747758939,0.749083753,0.713278658,100,5.3178
1.195908277,2.590361669,0.818340915,0.638490773,101,5.1892
0.915915926,3.589402102,0.338096572,0.131255011,102,4.7639
0.0125,0.351633383,0.323628825,0.55130731,103,4.9943
0.523946754,3.75,0.644970026,0.10254633,104,4.8586
0.908181966,3.615826911,0.144218785,1.034899171,105,6.0671
1.017243614,2.566572631,0.571629105,0.0125,106,5.0436
