Seq,DOY,DATE,HOUR,AMF_FC_OLD,FCH4_nmol_OLD,AMF_FCH4_OLD,AMF_FC,FCH4_nmol,AMF_FCH4
1,0.042,1/1/2015,1,,,,,,
2,0.083,1/1/2015,2,,,,,,
3,0.125,1/1/2015,3,,,,,,
4,0.167,1/1/2015,4,,,,,,
5,0.208,1/1/2015,5,,,,,,
6,0.25,1/1/2015,6,,,,,,
7,0.292,1/1/2015,7,,,,,,
8,0.333,1/1/2015,8,,,,,,
9,0.375,1/1/2015,9,,,,,,
10,0.417,1/1/2015,10,,,,,,
11,0.458,1/1/2015,11,,,,,,
12,0.5,1/1/2015,12,,,,,,
13,0.542,1/1/2015,13,,,,,,
14,0.583,1/1/2015,14,,,,,,
15,0.625,1/1/2015,15,,,,,,
16,0.667,1/1/2015,16,,,,,,
17,0.708,1/1/2015,17,,,,,,
18,0.75,1/1/2015,18,,,,,,
19,0.792,1/1/2015,19,,,,,,
20,0.833,1/1/2015,20,,,,,,
21,0.875,1/1/2015,21,,,,,,
22,0.917,1/1/2015,22,,,,,,
23,0.958,1/1/2015,23,,,,,,
24,1,1/1/2015,24,,,,,,
25,1.042,1/2/2015,1,,,,,,
26,1.083,1/2/2015,2,,,,,,
27,1.125,1/2/2015,3,,,,,,
28,1.167,1/2/2015,4,,,,,,
29,1.208,1/2/2015,5,,,,,,
30,1.25,1/2/2015,6,,,,,,
31,1.292,1/2/2015,7,,,,,,
32,1.333,1/2/2015,8,,,,,,
33,1.375,1/2/2015,9,,,,,,
34,1.417,1/2/2015,10,,,,,,
35,1.458,1/2/2015,11,,,,,,
36,1.5,1/2/2015,12,,,,,,
37,1.542,1/2/2015,13,,,,,,
38,1.583,1/2/2015,14,,,,,,
39,1.625,1/2/2015,15,,,,,,
40,1.667,1/2/2015,16,,,,,,
41,1.708,1/2/2015,17,,,,,,
42,1.75,1/2/2015,18,,,,,,
43,1.792,1/2/2015,19,,,,,,
44,1.833,1/2/2015,20,,,,,,
45,1.875,1/2/2015,21,,,,,,
46,1.917,1/2/2015,22,,,,,,
47,1.958,1/2/2015,23,,,,,,
48,2,1/2/2015,24,,,,,,
49,2.042,1/3/2015,1,,,,,,
50,2.083,1/3/2015,2,,,,,,
51,2.125,1/3/2015,3,,,,,,
52,2.167,1/3/2015,4,,,,,,
53,2.208,1/3/2015,5,,,,,,
54,2.25,1/3/2015,6,,,,,,
55,2.292,1/3/2015,7,,,,,,
56,2.333,1/3/2015,8,,,,,,
57,2.375,1/3/2015,9,,,,,,
58,2.417,1/3/2015,10,,,,,,
59,2.458,1/3/2015,11,,,,,,
60,2.5,1/3/2015,12,,,,,,
61,2.542,1/3/2015,13,,,,,,
62,2.583,1/3/2015,14,,,,,,
63,2.625,1/3/2015,15,,,,,,
64,2.667,1/3/2015,16,,,,,,
65,2.708,1/3/2015,17,,,,,,
66,2.75,1/3/2015,18,,,,,,
67,2.792,1/3/2015,19,,,,,,
68,2.833,1/3/2015,20,,,,,,
69,2.875,1/3/2015,21,,,,,,
70,2.917,1/3/2015,22,,,,,,
71,2.958,1/3/2015,23,,,,,,
72,3,1/3/2015,24,,,,,,
73,3.042,1/4/2015,1,,,,,,
74,3.083,1/4/2015,2,,,,,,
75,3.125,1/4/2015,3,,,,,,
76,3.167,1/4/2015,4,,,,,,
77,3.208,1/4/2015,5,,,,,,
78,3.25,1/4/2015,6,,,,,,
79,3.292,1/4/2015,7,,,,,,
80,3.333,1/4/2015,8,,,,,,
81,3.375,1/4/2015,9,,,,,,
82,3.417,1/4/2015,10,,,,,,
83,3.458,1/4/2015,11,,,,,,
84,3.5,1/4/2015,12,,,,,,
85,3.542,1/4/2015,13,,,,,,
86,3.583,1/4/2015,14,,,,,,
87,3.625,1/4/2015,15,,,,,,
88,3.667,1/4/2015,16,,,,,,
89,3.708,1/4/2015,17,,,,,,
90,3.75,1/4/2015,18,,,,,,
91,3.792,1/4/2015,19,,,,,,
92,3.833,1/4/2015,20,,,,,,
93,3.875,1/4/2015,21,,,,,,
94,3.917,1/4/2015,22,,,,,,
95,3.958,1/4/2015,23,,,,,,
96,4,1/4/2015,24,,,,,,
97,4.042,1/5/2015,1,,,,,,
98,4.083,1/5/2015,2,,,,,,
99,4.125,1/5/2015,3,,,,,,
100,4.167,1/5/2015,4,,,,,,
101,4.208,1/5/2015,5,,,,,,
102,4.25,1/5/2015,6,,,,,,
103,4.292,1/5/2015,7,,,,,,
104,4.333,1/5/2015,8,,,,,,
105,4.375,1/5/2015,9,,,,,,
106,4.417,1/5/2015,10,,,,,,
107,4.458,1/5/2015,11,,,,,,
108,4.5,1/5/2015,12,,,,,,
109,4.542,1/5/2015,13,,,,,,
110,4.583,1/5/2015,14,,,,,,
111,4.625,1/5/2015,15,,,,,,
112,4.667,1/5/2015,16,,,,,,
113,4.708,1/5/2015,17,,,,,,
114,4.75,1/5/2015,18,,,,,,
115,4.792,1/5/2015,19,,,,,,
116,4.833,1/5/2015,20,,,,,,
117,4.875,1/5/2015,21,,,,,,
118,4.917,1/5/2015,22,,,,,,
119,4.958,1/5/2015,23,,,,,,
120,5,1/5/2015,24,,,,,,
121,5.042,1/6/2015,1,,,,,,
122,5.083,1/6/2015,2,,,,,,
123,5.125,1/6/2015,3,,,,,,
124,5.167,1/6/2015,4,,,,,,
125,5.208,1/6/2015,5,,,,,,
126,5.25,1/6/2015,6,,,,,,
127,5.292,1/6/2015,7,,,,,,
128,5.333,1/6/2015,8,,,,,,
129,5.375,1/6/2015,9,,,,,,
130,5.417,1/6/2015,10,,,,,,
131,5.458,1/6/2015,11,,,,,,
132,5.5,1/6/2015,12,,,,,,
133,5.542,1/6/2015,13,,,,,,
134,5.583,1/6/2015,14,,,,,,
135,5.625,1/6/2015,15,,,,,,
136,5.667,1/6/2015,16,,,,,,
137,5.708,1/6/2015,17,,,,,,
138,5.75,1/6/2015,18,,,,,,
139,5.792,1/6/2015,19,,,,,,
140,5.833,1/6/2015,20,,,,,,
141,5.875,1/6/2015,21,,,,,,
142,5.917,1/6/2015,22,,,,,,
143,5.958,1/6/2015,23,,,,,,
144,6,1/6/2015,24,,,,,,
145,6.042,1/7/2015,1,,,,,,
146,6.083,1/7/2015,2,,,,,,
147,6.125,1/7/2015,3,,,,,,
148,6.167,1/7/2015,4,,,,,,
149,6.208,1/7/2015,5,,,,,,
150,6.25,1/7/2015,6,,,,,,
151,6.292,1/7/2015,7,,,,,,
152,6.333,1/7/2015,8,,,,,,
153,6.375,1/7/2015,9,,,,,,
154,6.417,1/7/2015,10,,,,,,
155,6.458,1/7/2015,11,,,,,,
156,6.5,1/7/2015,12,,,,,,
157,6.542,1/7/2015,13,,,,,,
158,6.583,1/7/2015,14,,,,,,
159,6.625,1/7/2015,15,,,,,,
160,6.667,1/7/2015,16,,,,,,
161,6.708,1/7/2015,17,,,,,,
162,6.75,1/7/2015,18,,,,,,
163,6.792,1/7/2015,19,,,,,,
164,6.833,1/7/2015,20,,,,,,
165,6.875,1/7/2015,21,,,,,,
166,6.917,1/7/2015,22,,,,,,
167,6.958,1/7/2015,23,,,,,,
168,7,1/7/2015,24,,,,,,
169,7.042,1/8/2015,1,,,,,,
170,7.083,1/8/2015,2,,,,,,
171,7.125,1/8/2015,3,,,,,,
172,7.167,1/8/2015,4,,,,,,
173,7.208,1/8/2015,5,,,,,,
174,7.25,1/8/2015,6,,,,,,
175,7.292,1/8/2015,7,,,,,,
176,7.333,1/8/2015,8,,,,,,
177,7.375,1/8/2015,9,,,,,,
178,7.417,1/8/2015,10,,,,,,
179,7.458,1/8/2015,11,,,,,,
180,7.5,1/8/2015,12,,,,,,
181,7.542,1/8/2015,13,,,,,,
182,7.583,1/8/2015,14,,,,,,
183,7.625,1/8/2015,15,,,,,,
184,7.667,1/8/2015,16,,,,,,
185,7.708,1/8/2015,17,,,,,,
186,7.75,1/8/2015,18,,,,,,
187,7.792,1/8/2015,19,,,,,,
188,7.833,1/8/2015,20,,,,,,
189,7.875,1/8/2015,21,,,,,,
190,7.917,1/8/2015,22,,,,,,
191,7.958,1/8/2015,23,,,,,,
192,8,1/8/2015,24,,,,,,
193,8.042,1/9/2015,1,,,,,,
194,8.083,1/9/2015,2,,,,,,
195,8.125,1/9/2015,3,,,,,,
196,8.167,1/9/2015,4,,,,,,
197,8.208,1/9/2015,5,,,,,,
198,8.25,1/9/2015,6,,,,,,
199,8.292,1/9/2015,7,,,,,,
200,8.333,1/9/2015,8,,,,,,
201,8.375,1/9/2015,9,,,,,,
202,8.417,1/9/2015,10,,,,,,
203,8.458,1/9/2015,11,,,,,,
204,8.5,1/9/2015,12,,,,,,
205,8.542,1/9/2015,13,,,,,,
206,8.583,1/9/2015,14,,,,,,
207,8.625,1/9/2015,15,,,,,,
208,8.667,1/9/2015,16,,,,,,
209,8.708,1/9/2015,17,,,,,,
210,8.75,1/9/2015,18,,,,,,
211,8.792,1/9/2015,19,,,,,,
212,8.833,1/9/2015,20,,,,,,
213,8.875,1/9/2015,21,,,,,,
214,8.917,1/9/2015,22,,,,,,
215,8.958,1/9/2015,23,,,,,,
216,9,1/9/2015,24,,,,,,
217,9.042,1/10/2015,1,,,,,,
218,9.083,1/10/2015,2,,,,,,
219,9.125,1/10/2015,3,,,,,,
220,9.167,1/10/2015,4,,,,,,
221,9.208,1/10/2015,5,,,,,,
222,9.25,1/10/2015,6,,,,,,
223,9.292,1/10/2015,7,,,,,,
224,9.333,1/10/2015,8,,,,,,
225,9.375,1/10/2015,9,,,,,,
226,9.417,1/10/2015,10,,,,,,
227,9.458,1/10/2015,11,,,,,,
228,9.5,1/10/2015,12,,,,,,
229,9.542,1/10/2015,13,,,,,,
230,9.583,1/10/2015,14,,,,,,
231,9.625,1/10/2015,15,,,,,,
232,9.667,1/10/2015,16,,,,,,
233,9.708,1/10/2015,17,,,,,,
234,9.75,1/10/2015,18,,,,,,
235,9.792,1/10/2015,19,,,,,,
